,Name,Commit,Runtime,Hostname,Notes,GPU Type,Sweep,Tags,End Time,Created,State,Group,epochs,lr,max_len,model_name,batch_size,epoch,fold_accuracy,fold_f1,fold_precision,fold_recall,mean_accuracy,mean_f1,mean_precision,mean_recall,std_accuracy,std_f1,std_precision,std_recall,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_f1,val_loss,val_precision,val_recall,fold_loss,fold_roc_auc,mean_loss,mean_roc_auc,std_loss,std_roc_auc,train_acc,train_f1,train_loss,trainer/global_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,model_size,model_architecture,model_type
10,dry-sweep-14,73076ced08b736bea3953de695094490d16f8b8d,24101,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-10T00:14:37.000Z,2023-09-09T17:32:56.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.793798387050628,0.783820152282714,0.795515477657318,0.793798387050628,0.759452509880066,0.74660677909851,0.762890982627868,0.759452509880066,0.0366710110981191,0.0390847071667509,0.0343274589127123,0.0366710110981191,0.815123081207275,0.75,0.805147528648376,0.722222208976745,0.416054308414459,0.451706230640411,0.820497274398803,0.723214268684387,0.815123081207275,0.75,0.793798387050628,0.783820152282714,0.441507250070571,0.795515477657318,0.793798387050628,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
11,cool-sweep-15,73076ced08b736bea3953de695094490d16f8b8d,23401,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-10T06:44:42.000Z,2023-09-10T00:14:41.000Z,finished,,5,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,5,0.794085144996643,0.78413701057434,0.797670602798461,0.794085144996643,0.759718871116638,0.746084296703338,0.764890885353088,0.759718871116638,0.0360645612228608,0.0383501236404297,0.0328658481515299,0.0360645612228608,0.815955936908721,0.800000011920929,0.805691838264465,0.784689009189605,0.414430260658264,0.458867937326431,0.820600509643554,0.777777791023254,0.815955936908721,0.800000011920929,0.794085144996643,0.78413701057434,0.441507667303085,0.797670602798461,0.794085144996643,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
12,dandy-sweep-12,73076ced08b736bea3953de695094490d16f8b8d,22341,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,k3kc9ciw,,2023-09-09T10:01:46.000Z,2023-09-09T03:49:25.000Z,finished,,5,5e-05,256,lmsys/vicuna-13b-v1.5,,5,0.782132685184478,0.772116780281066,0.784607231616973,0.782132685184478,0.757462310791015,0.745362746715545,0.75966260433197,0.757462310791015,0.0314700782746132,0.0318377629790008,0.0323191766231136,0.0314700782746132,0.811847209930419,0.899999976158142,0.801077127456665,0.861111104488372,0.414062917232513,0.316436260938644,0.814515173435211,0.857142865657806,0.811847209930419,0.899999976158142,0.782132685184478,0.772116780281066,0.438894987106323,0.784607231616973,0.782132685184478,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
13,revived-sweep-2,73076ced08b736bea3953de695094490d16f8b8d,11457,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-07T17:24:38.000Z,2023-09-07T14:13:41.000Z,finished,,4,5e-05,128,reciprocate/vicuna-13b_rm_oasst-hh,,4,0.790045022964477,0.779386222362518,0.792844712734222,0.790045022964477,0.757740414142608,0.744408631324768,0.75972796678543,0.757740414142608,0.0336870668428509,0.0361641373502816,0.0324637666063949,0.0336870668428509,0.803350508213043,0.75,0.792835891246795,0.722222208976745,0.431465357542037,0.449626505374908,0.809504091739654,0.723214268684387,0.803350508213043,0.75,0.790045022964477,0.779386222362518,0.452527582645416,0.792844712734222,0.790045022964477,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
14,floral-sweep-70,1c18110b7b3ef223024ab18239cac08f3e03c60e,36515,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-18T03:45:20.000Z,2023-08-17T17:36:45.000Z,finished,,5,3e-05,256,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.757804870605468,0.756332159042358,0.760827362537384,0.757804870605468,0.744656538963317,0.741851556301117,0.749025297164917,0.744656538963317,0.0150359053311205,0.0165326851164184,0.0108908842304571,0.0150359053311205,0.732825934886932,0.84166669845581,0.730710685253143,0.838035583496093,0.536862671375274,0.384645134210586,0.733185410499572,0.850427389144897,0.732825934886932,0.84166669845581,0.757804870605468,0.756332159042358,0.504882395267486,0.760827362537384,0.757804870605468,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
15,gallant-sweep-47,8f7df9cdce319b816ec586b7d86aabbb4b30a139,31135,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-16T19:45:33.000Z,2023-08-16T11:06:38.000Z,finished,,4,3e-05,256,raruidol/ArgumentMining-EN-ARI-Debate,,4,0.760731816291809,0.759198188781738,0.762943029403686,0.760731816291809,0.74423359632492,0.741320157051086,0.74805052280426,0.74423359632492,0.0186753018020983,0.0204059513359939,0.013260745935112,0.0186753018020983,0.73183262348175,0.87291669845581,0.72993665933609,0.870833337306976,0.535026788711547,0.400756239891052,0.732359230518341,0.876050412654876,0.73183262348175,0.87291669845581,0.760731816291809,0.759198188781738,0.505096495151519,0.762943029403686,0.760731816291809,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
16,earthy-sweep-37,8f7df9cdce319b816ec586b7d86aabbb4b30a139,17967,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-16T10:38:46.000Z,2023-08-16T05:39:19.000Z,finished,,5,3e-05,128,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.760943889617919,0.759334683418273,0.764330327510833,0.760943889617919,0.742657709121704,0.739402294158935,0.748184156417846,0.742657709121704,0.0191791897076276,0.0212486404648193,0.0142498394253938,0.0191791897076276,0.730074703693389,0.808333337306976,0.727832496166229,0.806249976158142,0.538963019847869,0.37659215927124,0.730835080146789,0.810924410820007,0.730074703693389,0.808333337306976,0.760943889617919,0.759334683418273,0.504192590713501,0.764330327510833,0.760943889617919,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
17,laced-sweep-7,73076ced08b736bea3953de695094490d16f8b8d,11890,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-08T05:21:25.000Z,2023-09-08T02:03:15.000Z,finished,,4,5e-05,128,reciprocate/vicuna-13b_rm_oasst-hh,,4,0.785806477069854,0.775887906551361,0.789700925350189,0.785806477069854,0.752145302295684,0.739108419418334,0.756549072265625,0.752145302295684,0.0390224518152044,0.0404738620640129,0.0365447934383369,0.0390224518152044,0.8045254945755,0.600000023841857,0.793461203575134,0.533333361148834,0.432786375284194,0.520481526851654,0.810846924781799,0.600000023841857,0.8045254945755,0.600000023841857,0.785806477069854,0.775887906551361,0.452876359224319,0.789700925350189,0.785806477069854,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
18,fallen-sweep-13,73076ced08b736bea3953de695094490d16f8b8d,18071,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-09T17:32:55.000Z,2023-09-09T12:31:44.000Z,finished,,4,5e-05,256,reciprocate/vicuna-13b_rm_oasst-hh,,4,0.784834206104278,0.77341341972351,0.785780370235443,0.784834206104278,0.752976489067077,0.739021694660186,0.755650222301483,0.752976489067077,0.0386637061169592,0.041145109513268,0.0371158317216796,0.0386637061169592,0.801564991474151,0.800000011920929,0.790880024433136,0.732142865657806,0.432373315095901,0.476346015930175,0.808624804019928,0.777777791023254,0.801564991474151,0.800000011920929,0.784834206104278,0.77341341972351,0.45387327671051,0.785780370235443,0.784834206104278,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
19,skilled-sweep-147,1c18110b7b3ef223024ab18239cac08f3e03c60e,18608,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-21T20:58:24.000Z,2023-08-21T15:48:16.000Z,finished,,5,3e-05,128,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.754350125789642,0.753123104572296,0.757651805877685,0.754350125789642,0.740815472602844,0.73748013973236,0.746891355514526,0.740815472602844,0.0182258259177849,0.0209711798217706,0.0111455403756506,0.0182258259177849,0.731503427028656,0.835416674613952,0.729560613632202,0.835978865623474,0.534597873687744,0.362645477056503,0.732068717479705,0.853070199489593,0.731503427028656,0.835416674613952,0.754350125789642,0.753123104572296,0.504941284656524,0.757651805877685,0.754350125789642,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
20,unique-sweep-158,1c18110b7b3ef223024ab18239cac08f3e03c60e,17863,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-22T13:15:34.000Z,2023-08-22T08:17:51.000Z,finished,,5,2e-05,128,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.750108778476715,0.747595131397247,0.756830394268035,0.750108778476715,0.737308073043823,0.733359849452972,0.744796383380889,0.737308073043823,0.0197761415587849,0.0218144950692668,0.0150849874256426,0.0197761415587849,0.729454040527343,0.902083337306976,0.727502882480621,0.90282130241394,0.541006922721862,0.393634110689163,0.7293421626091,0.905462145805358,0.729454040527343,0.902083337306976,0.750108778476715,0.747595131397247,0.51081645488739,0.756830394268035,0.750108778476715,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
21,vague-sweep-1,73076ced08b736bea3953de695094490d16f8b8d,10200,compute-container-otiefy-77756f7f5b-7vhck,-,NVIDIA A100 80GB PCIe,b30pqvl6,,2023-09-07T14:13:37.000Z,2023-09-07T11:23:37.000Z,finished,,3,5e-05,128,reciprocate/vicuna-13b_rm_oasst-hh,,3,0.771353900432586,0.760707914829254,0.772307753562927,0.771353900432586,0.746148538589477,0.732983672618866,0.749515092372894,0.746148538589477,0.033839866516507,0.0354268828881543,0.0306008557089238,0.033839866516507,0.792472600936889,0.649999976158142,0.781051933765411,0.598214268684387,0.452585160732269,0.512640118598938,0.79940640926361,0.638888895511627,0.792472600936889,0.649999976158142,0.771353900432586,0.760707914829254,0.470930874347686,0.772307753562927,0.771353900432586,,,,,,,,,,4,,,,,,,13000000000,encoder_decoder,general_purpose_models
22,noble-sweep-138,1c18110b7b3ef223024ab18239cac08f3e03c60e,18630,otiefy,-,Tesla K80,5tgsh1kw,,2023-08-21T08:49:45.000Z,2023-08-21T03:39:15.000Z,finished,,5,2e-05,128,raruidol/ArgumentMining-EN-ARI-Debate,,5,0.745426774024963,0.742901146411895,0.752411842346191,0.745426774024963,0.735519039630889,0.731711053848266,0.743188571929931,0.735519039630889,0.0174434080469768,0.0193596097941573,0.0132360175368363,0.0174434080469768,0.734414279460907,0.808333337306976,0.732365310192108,0.806249976158142,0.53402030467987,0.415100812911987,0.734880983829498,0.810924410820007,0.734414279460907,0.808333337306976,0.745426774024963,0.742901146411895,0.512758433818817,0.752411842346191,0.745426774024963,,,,,,,,,,4,,,,,,,561000000,encoder,debate_based_models
